# NEM 2010 half-hourly demand
#
# NSW   QLD     SA1     TAS    VIC
9415.02 6774.53 2619.08 1198.78 7402.02
9474.34 6727.06 2525.78 1175.87 7221.89
9312.38 6653.86 2432.02 1179.85 7100.39
9074.55 6543.57 2372.77 1183.61 6817.09
9087.62 6558.14 2252.78 1158.06 6514.64
8942.57 6307.73 2144.80 1125.29 6204.34
8774.81 6107.39 2015.02 1085.96 5930.80
8591.91 6029.42 1915.96 1050.00 5698.85
8320.88 5921.30 1839.63 1065.53 5812.16
8044.09 5681.56 1966.19 1076.28 5610.39
7746.22 5478.48 1806.29 1065.41 5283.18
7443.16 5299.58 1711.17 1067.47 5069.59
7122.84 5111.16 1581.67 1054.41 5350.40
6827.91 4967.70 1490.34 1057.19 5098.66
6613.01 4873.10 1445.84 1052.24 4829.21
6525.80 4837.52 1407.26 1040.28 4676.70
6471.51 4839.29 1387.53 1034.25 4572.28
6477.89 4814.89 1373.23 1038.27 4615.77
6547.98 4834.17 1349.26 1049.84 4624.82
6538.81 4796.31 1361.24 1052.21 4653.62
6634.89 4852.93 1384.14 1051.55 4693.52
6784.32 4898.69 1342.46 1055.43 4657.11
7109.54 5087.23 1351.72 1073.52 4881.92
7573.23 5316.13 1436.99 1102.06 5106.63
8036.33 5640.09 1520.33 1129.51 5334.97
8513.87 5913.87 1622.03 1142.92 5618.55
9003.91 6156.54 1748.01 1120.75 5952.60
9244.65 6425.62 1887.43 1113.45 6283.54
9454.39 6545.92 2030.53 1112.57 6541.30
9649.05 6648.24 2115.73 1137.55 6798.48
9884.43 6719.80 2204.73 1145.95 6998.24
10107.62 6729.73 2305.28 1157.92 7184.65
10314.69 6769.19 2388.57 1126.87 7204.93
10470.43 6822.37 2494.06 1111.45 7293.12
10675.20 6786.76 2536.13 1087.15 7346.72
10842.61 6783.57 2586.33 1063.21 7378.22
10953.88 6845.27 2608.44 1053.28 7393.13
11056.98 6790.30 2628.91 1049.49 7390.21
11188.77 6773.26 2672.88 1066.13 7416.29
11333.00 6777.36 2689.01 1079.04 7440.55
11412.45 6786.51 2721.64 1073.46 7420.20
11524.52 6783.17 2708.91 1084.25 7375.91
11430.72 6778.06 2717.04 1086.50 7280.99
11353.03 6817.57 2695.81 1098.53 7284.55
11297.60 6778.19 2666.12 1100.38 7157.74
11154.18 6703.16 2625.69 1100.78 7006.79
10969.01 6610.47 2562.16 1096.41 6733.60
10717.10 6618.12 2480.73 1092.82 6493.65
10590.90 6708.68 2402.25 1114.69 6279.10
10608.86 6717.33 2331.91 1143.57 6036.63
10465.88 6543.88 2277.85 1175.79 6029.53
10175.55 6441.66 2247.74 1182.65 5956.16
9997.75 6445.49 2175.86 1167.29 5750.79
9715.21 6204.98 2075.74 1109.91 5539.73
9417.91 6035.44 1977.23 1089.05 5370.28
8998.06 5984.43 1906.72 1063.46 5245.70
8618.35 5880.20 1833.89 1030.13 5411.48
8247.43 5681.92 1907.10 1040.73 5189.12
7889.17 5467.52 1795.18 1022.02 4992.44
7606.72 5297.73 1717.99 1014.49 4798.78
7287.96 5118.48 1610.61 1032.81 5148.90
7034.07 4985.91 1533.30 1033.11 4914.00
6880.65 4886.47 1479.04 1019.89 4685.28
6837.91 4830.26 1449.06 1028.44 4497.22
6778.70 4826.19 1421.35 1029.74 4451.80
6717.56 4820.52 1397.97 1033.11 4381.72
6752.77 4826.58 1397.23 1029.45 4426.92
6769.17 4831.54 1414.92 1043.34 4471.94
6803.64 4789.82 1416.33 1050.73 4452.03
6942.86 4792.71 1408.57 1040.85 4415.12
7161.96 4981.63 1386.94 1044.11 4534.62
7572.70 5161.65 1437.63 1042.17 4655.20
8076.39 5441.77 1530.50 1047.36 4799.43
8530.98 5663.26 1588.49 1050.95 4991.81
9155.87 5883.04 1714.73 1073.01 5246.32
9589.13 6137.05 1879.38 1087.47 5421.10
9958.30 6315.15 2031.77 1096.90 5642.51
10294.17 6448.00 2194.46 1089.29 5824.35
10501.34 6559.22 2339.99 1093.15 5992.77
10708.41 6585.12 2455.51 1095.97 6156.38
10836.25 6635.08 2543.97 1085.83 6284.03
10878.48 6680.24 2654.23 1088.12 6398.88
10937.72 6685.40 2719.65 1082.16 6516.05
10945.83 6778.00 2745.47 1010.30 6567.10
10924.66 6797.60 2766.96 1016.86 6693.52
10955.67 6808.48 2788.68 1059.81 6813.13
