# "Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046129.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046126.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-016001.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-018106.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-043091.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-036031.epw"
0,0,0,0,0,0
2.381,2.11866,0.100741,0,2.59852,2.09253
2.68525,2.70771,2.65292,2.57921,2.78331,2.73737
2.67692,2.81861,2.73902,2.75596,2.83055,2.83275
2.73649,2.78132,2.68864,2.81608,2.80422,2.86577
2.77287,2.65703,2.75778,2.76449,2.7774,2.8495
2.4335,2.81093,2.63621,2.62599,2.85809,2.83846
2.82403,2.72046,2.73041,2.69746,2.84908,2.8878
2.83965,2.78046,2.62394,2.79612,2.80711,2.85386
2.83629,2.84932,2.84008,2.7189,2.7474,2.85675
2.69638,2.70484,2.72835,2.7744,2.63654,2.71183
2.48248,2.44097,2.47748,2.68462,2.36927,2.41847
1.03479,1.20954,2.13005,2.44501,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.40706,2.02577,0.0661223,0,2.64914,1.8995
2.75249,2.71469,2.74888,2.46527,2.81039,2.62003
2.83344,2.7898,2.80253,2.65654,2.85312,2.7358
2.82013,2.79941,2.77276,2.65918,2.85207,2.67681
2.70785,2.777,2.77803,2.6229,2.8042,2.64745
2.65295,2.81815,2.71981,2.48975,2.88631,2.69867
2.69486,2.87598,2.71982,2.51754,2.87257,2.67414
2.83363,2.88924,2.7102,2.59486,2.86228,1.90344
2.76984,2.86627,2.7712,2.618,2.79811,0.612881
2.72327,2.76432,2.71199,2.65684,2.66327,0.902205
2.47524,2.49418,2.52706,2.55883,2.39541,1.65045
1.04301,1.13412,2.12139,2.31545,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
